Best Tile in Board,Game Score,Game Total Moves
2048,3620,1647
2048,3630,1657
2048,4218,1912
2048,3306,1499
2048,3184,1461
1024,1854,841
2048,3714,1690
2048,4116,1876
1024,2102,948
2048,4030,1821
1024,1848,834
1024,2176,998
1024,1816,809
2048,4050,1824
2048,3140,1423
2048,3936,1776
1024,2118,957
2048,3916,1776
2048,4092,1869
1024,2110,961
2048,4218,1912
1024,2116,962
2048,3596,1617
2048,3446,1580
2048,3172,1436
1024,2100,958
512,1120,508
2048,4188,1891
512,1066,481
1024,2132,960
2048,3622,1624
2048,2856,1308
1024,2082,929
2048,4226,1921
2048,3684,1654
2048,4078,1834
2048,3588,1631
1024,1590,715
2048,4064,1825
2048,3416,1553
2048,4128,1868
2048,3154,1422
1024,1952,885
1024,2160,988
1024,1652,756
1024,2118,960
1024,2164,976
2048,3652,1690
2048,3196,1447
4096,6192,2790
