Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
up,72,2,261.12,137.26,6
up,82,2,284.92,148.94,8
up,49,4,277.68,143.5,10
down,51,4,282.84,148.22,12
up,25,4,271.2,140.88,14
right,60,4,281.56,146.26,16
down,52,4,282.4,140.56,18
down,49,4,293.16,148.66,20
left,49,8,271.96,134.44,22
down,64,8,300.84,151.74,24
right,46,8,262.4,127.84,26
left,53,8,256.48,122.16,28
down,65,8,273.84,133.44,30
up,47,8,299.6,147.64,32
down,40,8,280.96,134.8,34
left,47,8,263.04,124.28,36
up,49,8,279.24,132.82,38
down,46,8,278.04,131.2,40
left,67,16,279.04,128.62,42
left,53,16,290.92,135.58,44
up,34,16,262.92,118.68,48
down,67,16,272.8,123.68,50
up,38,16,264.64,118.52,52
right,45,16,272.04,120.56,56
left,42,16,271.24,115.24,58
right,40,16,268.84,115.26,60
right,48,16,296.68,128.52,62
down,47,32,284.64,120.86,64
down,45,32,276.72,116.7,66
left,47,32,287.68,123.2,68
up,23,32,271.96,111.88,70
right,40,32,274.12,109.98,72
down,40,32,283.44,115.58,74
up,48,32,296.6,121.28,76
left,38,32,280.04,112.4,78
up,43,32,278.76,107.96,80
down,37,32,280.36,110.02,82
up,38,32,264.56,98.58,84
right,29,32,280.08,108.6,86
left,50,32,270.44,103.82,88
down,40,32,263.48,97.82,90
left,46,32,287.52,108.86,92
up,39,32,272,97.96,94
right,29,32,299,112.32,96
left,30,32,283.44,103.96,98
down,37,64,277.76,97.84,100
right,20,64,265.72,90.66,102
right,38,64,277.4,95.66,104
down,39,64,281.12,98.34,106
down,44,64,281.24,96.22,108
right,34,64,281.72,95.34,110
up,41,64,279.4,91.44,112
up,49,64,271.76,86.96,114
left,33,64,279.88,91.9,116
right,41,64,288.84,94.46,118
right,41,64,293.96,97,120
left,28,64,293.96,96.16,122
left,44,64,271.68,83.46,124
up,29,64,283.76,87.02,126
down,29,64,285.68,87.9,128
up,30,64,276.96,81.34,130
right,45,64,281.48,83.54,132
up,41,64,279.52,83.12,134
left,31,64,288.56,85.1,136
up,34,64,289.52,85.88,138
left,33,64,294.24,85.98,142
up,26,64,288.56,83.2,144
right,41,64,289.04,81.24,146
right,35,64,303.08,87.42,148
down,28,64,288.76,77.86,150
up,45,64,288.2,76.56,152
down,35,64,309.44,88.14,154
left,33,64,303.08,83.06,156
right,20,64,319.92,89.78,158
right,40,64,310.24,82.04,160
left,42,64,316.84,86.68,162
down,46,64,312.8,83.54,164
left,33,64,307.04,80.84,166
up,39,64,313.28,79.98,168
up,37,64,333.2,94.18,170
right,26,64,308.4,75.84,172
up,52,128,338.44,91.96,174
down,41,128,329.28,85.54,178
left,29,128,325.28,79.76,180
up,39,128,339.08,87.9,182
up,37,128,323.48,77.7,184
left,43,128,334.68,82.68,186
up,45,128,334.32,81.36,188
right,42,128,344.04,86.82,192
left,35,128,340.52,83.38,194
up,46,128,336.44,79.02,196
right,46,128,318.88,67.98,200
up,46,128,328.32,71.24,202
left,35,128,344.84,80.08,204
up,35,128,344.56,80.38,206
left,32,128,340,75.88,208
left,207,128,323.2,64.58,212
down,30,128,343.96,73.4,214
left,36,128,343.88,71.84,216
right,43,128,337.84,68.3,218
down,44,128,370.04,85.26,220
left,33,128,357.56,77.16,222
right,33,128,353.6,73.84,224
left,41,128,351.56,70.5,226
up,29,128,358.96,74.6,228
down,36,128,355.6,70.56,230
right,27,128,355.72,72.08,232
down,35,128,337.08,57.66,236
up,31,128,355.48,66.8,238
right,40,128,351.6,63.28,240
right,36,128,343,57.4,242
up,27,128,344.72,58.8,244
up,34,128,350.72,59.7,246
right,42,128,345.48,55.14,248
down,40,128,357.08,60.7,250
right,37,128,354.52,58.8,254
left,29,128,352.96,54.84,256
right,37,128,376.76,66.44,258
right,34,128,365.96,60.7,260
left,29,128,363.2,60.08,262
up,20,128,357.44,53.18,264
left,19,128,347.16,47.3,266
right,31,128,344.84,44.06,268
down,21,128,348.36,46.48,272
left,25,128,374.8,57.9,274
right,24,128,373.44,55.72,276
up,28,128,374.4,55.96,278
right,36,128,397.08,67.54,280
up,38,128,395.56,65.82,282
right,29,128,403.72,68.42,284
left,35,128,398.72,64.5,286
down,29,128,404.4,67.66,288
right,49,128,422.64,75.52,290
down,42,128,427.28,75.68,292
right,38,128,437,80.5,294
right,36,128,448.12,84.56,296
down,29,256,447.88,83.78,300
up,29,256,445.92,82.28,302
down,39,256,447.12,82.64,304
right,33,256,440.6,75.68,306
left,42,256,438.48,74.46,308
down,44,256,451.32,78.04,310
up,42,256,451.68,79.06,312
right,35,256,453.32,79.2,314
left,44,256,451.24,75.26,318
left,42,256,459.16,78.38,322
up,41,256,448.4,71,324
down,40,256,448.92,70.44,326
right,24,256,442.84,64.04,328
up,17,256,452.12,67.84,330
down,38,256,458.4,72.1,334
right,45,256,468.08,76.08,338
up,38,256,464.2,71.84,340
down,38,256,469.64,71.06,342
left,37,256,463.56,67.62,344
up,30,256,469.24,70.04,346
up,39,256,466.96,69.44,348
left,28,256,465.48,67.12,350
left,29,256,465.96,64.06,352
right,35,256,461.8,63.48,356
down,25,256,468.04,62.66,358
right,58,256,470.48,63.62,360
left,42,256,470.92,63.16,362
up,33,256,473.28,63.4,364
up,30,256,468.72,57.52,366
down,35,256,475.48,61.68,370
left,43,256,465.12,53.78,372
right,42,256,471.6,56.9,374
down,34,256,468.32,52.68,376
right,31,256,455.6,43.88,378
up,27,256,468.72,51.54,380
left,32,256,461.12,47.1,382
left,27,256,462.68,46,386
up,27,256,473.24,49.92,388
down,31,256,466.52,45.4,390
left,26,256,475.84,49.32,392
up,15,256,466.36,43.68,394
up,25,256,469.36,44.08,396
left,25,256,484.96,52.18,398
up,26,256,478.48,46.62,400
left,26,256,471.44,40.88,402
down,29,256,485.48,48.04,404
up,30,256,500.28,56.14,406
right,32,256,491.08,49.22,408
down,28,256,501.12,52.26,410
right,32,256,502.92,51.68,412
left,35,256,518.4,60.06,416
up,34,256,514.32,55.76,418
down,33,256,532.16,64.76,420
left,33,256,524.8,59.8,424
right,29,256,518.52,52.98,428
up,41,256,525.04,54.92,430
right,25,256,525.32,53.04,432
down,30,256,526.16,53.38,434
left,30,256,523.84,51.56,436
left,35,256,524.68,50.74,440
left,31,256,531.68,52.84,442
up,18,256,528.8,47.72,444
left,24,256,526.48,46.7,446
down,36,256,535.96,53.88,448
right,32,256,537.4,51.54,450
down,25,256,528.16,44.26,452
up,28,256,535.24,47.16,454
right,88,256,531,44.22,458
down,34,256,534.44,42.16,460
up,42,256,541.76,47.16,462
left,39,256,531.52,42.24,464
down,23,256,542.24,45.02,466
left,27,256,539.44,41.04,468
down,42,256,550.64,46.32,470
up,28,256,542.88,45.16,472
left,25,256,538.64,38.66,474
down,38,256,541.4,39.56,476
up,21,256,552.08,43.08,480
down,198,256,542.4,36.82,482
down,125,256,547.8,36.82,484
up,140,256,543.08,34.54,486
down,775,256,544.04,33.22,488
up,19,256,552.68,37.7,492
up,23,256,550.52,36.56,494
up,20,256,550.88,32.86,496
down,27,256,546,27.92,498
up,35,256,552.64,31.92,500
right,29,256,551.16,30.82,502
up,55,256,563.68,35.84,504
down,55,256,572.36,39,506
right,71,256,582.32,42.74,508
down,58,256,580.04,41.14,510
right,67,256,593.92,46.16,512
right,42,256,603.68,50.94,514
right,44,256,604.36,51.7,516
left,46,256,613.36,55.34,518
up,23,256,598.32,46.42,520
right,42,256,591.24,42.38,522
right,49,256,590.28,39.92,524
right,41,256,594.28,41.28,526
right,26,256,606.68,46.54,528
left,22,256,609.44,46.9,532
up,24,256,621.2,50.3,534
left,133,256,628.96,53.62,538
up,22,256,624.8,47.68,540
left,30,256,644,58.44,544
down,38,256,669.6,68.98,546
right,27,256,682.6,76.82,548
down,37,256,702.96,86.72,550
up,36,256,702.84,84.26,552
up,36,256,692.24,76.74,554
right,35,256,704.32,84,556
right,48,512,704.36,83.56,558
left,44,512,708.8,84.02,560
up,26,512,699.4,76.62,562
right,32,512,698.04,76.66,564
up,31,512,698.88,74.52,566
left,22,512,693.36,72.68,568
right,33,512,700.2,71.98,570
down,29,512,701.08,75.32,572
right,39,512,699.28,71.1,574
down,32,512,707.84,76.08,576
right,31,512,694.76,65.64,578
left,28,512,696.4,65.5,580
down,28,512,706.04,70.44,582
right,17,512,703.48,67.08,584
down,27,512,709.44,69.06,586
left,27,512,705.8,67.72,588
right,22,512,703,65.04,590
